item,refdes,qty,subsystem,rev_a_selected_mpn,low_cost_candidate,robust_upgrade_candidate,supplier_part_status,pcba_policy,estimated_100_unit_cost_usd,decision_status,why
LIN series resistors,R_LINA_SER1 R_LINB_SER1,2,lin,10R 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,selected,Placed between harness-side LIN net and TJA1021 LIN pin
Buck feedback resistors,R_FB_TOP1 R_FB_BOT1,2,power,174k/100k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,selected_verify_calculation,Preliminary for LM5164 1.2V reference; final after TI calculator review
VBAT bulk capacitor,C_BULK_IN,1,power,47uF 35-50V,47uF 35V electrolytic/polymer,100uF 50V automotive-rated polymer,TBD supplier verification,SMT/THT by vendor or manual,0.35,preferred_low_cost,Input energy storage and transient smoothing
3V3 bulk capacitor,C_3V3_BULK,1,power,22uF 10V X7R 0805/1206,22uF 10V X7R,47uF combined low-ESR ceramics,TBD supplier verification,SMT by PCBA vendor,0.10,preferred_low_cost,ESP32 radio bursts need local bulk capacitance
Local decoupling,C_DECOUPLE,8,power,100nF 50V X7R 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.03,locked,Local decoupling at ICs and protection blocks
Placed local decoupling,C_U1_DEC1 C_U2_DEC1 C_U3_DEC1 C_U4_DEC1,4,power,100nF 50V X7R 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,locked,Implemented on Rev A at ESP32 LIN transceiver VBAT pins and buck input
Status LEDs,LED_STATUS LED_FAULT,2,ui,0603 LED optional,Generic 0603 LEDs,Same,TBD supplier verification,SMT by PCBA vendor,0.04,candidate,Useful for Rev A debug but can be depopulated later
Pogo pads,TP_ARRAY,12,test,ENIG copper pads,KiCad test pads,Same,PCB feature not purchased,PCB copper,0.00,locked,No hand wires for programming/test
Fiducials,FID1 FID2 FID3,3,manufacturing,Global fiducials,KiCad fiducial footprints,Same,PCB feature not purchased,PCB copper,0.00,locked,Required for repeatable PCBA assembly
External antenna,ANT1,1,rf,2.4GHz U.FL antenna,TBD low-cost U.FL antenna,automotive-rated external 2.4GHz antenna,TBD after mechanical fit,Manual install,1.00,candidate,RF placement inside wheel cavity must be validated physically
